2688.HK|113.70|03/01/2023 16:08|2.26|0.604|16.43|0.77|6.00|-2.25||57.57|-38.06|30.35|7.21|6.48|20.28|20.57|1.83|1.56|2.06
3690.HK|142.80|03/01/2023 16:08|3.41|0.529||2.12|2.00|-2.52|||||-9.33|-29.27|-17.55||0|0|35.26
3692.HK|14.86|03/01/2023 16:08|7.66|0.195|55.65|7.70|5.00|0.34||-41.63|-48.94||9.99||13.61||0.41||2.13
3800.HK|2.14|03/01/2023 16:08|1.67|0.288|6.85|1.25|7.00|-2.06|||92.57|168.98|13.59|0.391|32.48|-0.465|0|0|183.60
3888.HK|27.55|03/01/2023 16:08|3.32|0.105|9.40|5.57|4.00|-2.87|9.53||-74.65|19.21|0.25|9.91|0.36|15.88|0.58|0.43|7.72
3968.HK|45.25|03/01/2023 16:08||0.507|||8.00|-2.39||58.67|43.04|11.09|1.41|1.27|15.24|15.67|2.49|2.82|17.97
3988.HK|2.94|03/01/2023 16:08||0.703|||7.00|-2.39||83.51|283.85|4.95|0.82|0.8706|9.94|10.95|8.46|6.79|159.02
6098.HK|15.84|03/01/2023 16:08|2.34|0.086|21.52|1.33|2.00|-0.41||159.47|-27.88||7.20|14.71|13.08|33.99|0.57|0.252|28.32
6618.HK|59.45|03/01/2023 16:08|12.09|0.005||4.88|3.00|-2.70|||||-0.84||-1.02||0||6.73
6969.HK|10.36|03/01/2023 16:08|12.72|0.018|121.48|4.91|4.00|-1.88||166.84|-18.57||17.04||20.13||1.21||14.39
9618.HK|183.30|03/01/2023 16:08|3.45|0.325|8.36|1.30|5.00|-2.54|-14.59||-88.18|588.75|0.29|3.61|0.72|9.71|0|0|10.60
9626.HK|166.00|03/01/2023 16:08|0.81|1.18||1.64|2.00|-3.18|||||-16.97|-11.61|-40.75|-25.96|0|0|2.83
9633.HK|44.45|03/01/2023 16:08|22.07|0.145|182.56|1.20|6.00|-1.91|||-85.76||22.75||39.51||0.40||3.99
9866.HK|79.70|03/01/2023 16:08|1.46|0.927||1.59|5.00|-1.57|||||-12.50|-49.30|-34.68||0|0|1.50
9868.HK|37.65|03/01/2023 16:08|0.90|0.217||1.89|4.00|0.31|||||-11.91||-19.34||0||12.67
9888.HK|145.00|03/01/2023 16:08|2.16|0.44|4.29|2.46|4.00|-2.17|3.18||-62.13|17.41|1.12|5.87|2.01|11.48|0|0|17.30
9988.HK|91.90|03/01/2023 16:08|3.03|0.164|1.64|1.74|6.00|-2.77|||-58.63|21.74|1.79|9.60|3.21|17.84|0|0|53.26
9992.HK|24.30|03/01/2023 16:08|11.92|0.095|37.92|6.67|2.00|-0.98|||-54.56||10.14||12.30||0.41||7.02
9999.HK|131.30|03/01/2023 16:08|5.54|0.275||2.31|8.00|-2.89|-10.02|-6.71|-37.69|29.26|13.69|13.43|22.72|23.08|0.81|0.314|6.50
